proposal_id,chain,original_id,title,type,status,timestamp,voting_start,voting_end,tx_hash,proposer,high_level_category,topic_subject,passed
cosmos_1,cosmos,1,Adjustment of blocksperyear to come aligned with actual block time,Text,PASSED,1553064087040,1553114639630,1554324239630,undefined,undefined,TextProposal,Governance Process,True
cosmos_2,cosmos,2,ATOM Transfer Enablement,Text,REJECTED,1553550139240,1553557444098,1554767044098,undefined,undefined,TextProposal,Governance Process,False
cosmos_3,cosmos,3,ATOM Transfer Enablement v2,Text,PASSED,1554286522291,1554312912673,1555522512673,undefined,undefined,TextProposal,Governance Process,True
cosmos_4,cosmos,4,Proposal for issuance of fungible tokens directly on the Cosmos Hub,Text,REJECTED,1555317939072,1555341948465,1556551548465,undefined,undefined,TextProposal,Governance Process,False
cosmos_5,cosmos,5,Expedited Cosmos Upgrade Proposal,Text,PASSED,1555634995251,1555642081207,1556851681207,undefined,undefined,TextProposal,Governance Process,True
cosmos_6,cosmos,6,Dont Burn Deposits for Rejected Governance Proposals Unless Vetoed,Text,PASSED,1556907273209,1556913058076,1558122658076,undefined,undefined,TextProposal,Governance Process,True
cosmos_7,cosmos,7,Activate the Community Pool,Text,PASSED,1556917705443,1556985753246,1558195353246,undefined,undefined,TextProposal,Community Decision,True
cosmos_8,cosmos,8,Notification for Security Critical Hard Fork at Block 482100,Text,PASSED,1559245382870,1559245695472,1560455295472,undefined,undefined,TextProposal,Governance Process,True
cosmos_10,cosmos,10,Increase Max Validator Set Size to 125,Text,PASSED,1561990165508,1562151719653,1563361319653,undefined,undefined,TextProposal,Governance Process,True
cosmos_12,cosmos,12,Are Validators Charging 0 Commission Harmful to the Success of the Cosmos Hub,Text,PASSED,1563841695881,1563872377718,1565081977718,undefined,undefined,TextProposal,Network Policy,True
cosmos_13,cosmos,13,Cosmos Hub 3 Upgrade Proposal A,Text,PASSED,1564164250416,1564411038454,1565620638454,undefined,undefined,TextProposal,Governance Process,True
cosmos_14,cosmos,14,Cosmos Hub 3 Upgrade Proposal B,Text,REJECTED,1566576979814,1566582195034,1567791795034,undefined,undefined,TextProposal,Governance Process,False
cosmos_16,cosmos,16,Cosmos Hub 3 Upgrade Proposal D,Text,PASSED,1567719152253,1567737001287,1568946601287,undefined,undefined,TextProposal,Governance Process,True
cosmos_19,cosmos,19,Cosmos Hub 3 Upgrade Proposal E,Text,PASSED,1573751611985,1573797430911,1575007030911,undefined,undefined,TextProposal,Governance Process,True
kava_1,kava,1,Enable Transactions Param Change,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1573929075707,1574131696507,1575341296507,undefined,undefined,ParameterChange,Fee Adjustment,True
cosmos_23,cosmos,23,Cosmos Governance Working Group  Q1 2020,CommunityPoolSpend,PASSED,1579071108001,1579115768573,1580325368573,undefined,undefined,CommunityPoolSpend,Ecosystem Growth,True
secret_2,secret,2,Unify The Enigma Community,Text,PASSED,1581899606068,1582031218938,1582636018938,undefined,undefined,TextProposal,Project Funding,True
secret_3,secret,3,Param Change slashingsignedblockswindow from 100 to 5000,ParameterChange,PASSED,1582727754547,1582811583651,1583416383651,undefined,undefined,ParameterChange,Protocol Configuration,True
secret_4,secret,4,Burn ENG for SCRT,Text,PASSED,1583609512551,1583783147985,1584387947985,undefined,undefined,TextProposal,Governance Process,True
secret_5,secret,5,Community Fee Param Change,ParameterChange,PASSED,1583713741755,1583771619906,1584376419906,undefined,undefined,ParameterChange,Fee Adjustment,True
kava_2,kava,2,Kava Incentives Proposal,/cosmos.gov.v1beta1.TextProposal,PASSED,1584727427344,1585033860433,1586243460433,undefined,undefined,TextProposal,Governance Process,True
secret_6,secret,6,Burn ENG for SCRT Budget Allocation,CommunityPoolSpend,PASSED,1587654186474,1587664922633,1588269722633,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_7,secret,7,Brand this network as Secret Network,Text,PASSED,1589041745948,1589051379193,1589656179193,undefined,undefined,TextProposal,Network Policy,True
secret_8,secret,8,The Puzzle Proposal,CommunityPoolSpend,PASSED,1589266657262,1589308858702,1589913658702,undefined,undefined,CommunityPoolSpend,Community Support,True
secret_9,secret,9,The Testnet Proposal,CommunityPoolSpend,PASSED,1589270446909,1589310283642,1589915083642,undefined,undefined,CommunityPoolSpend,Community Support,True
cosmos_25,cosmos,25,CosmWasm Integration 1  Permissions and Upgrades,CommunityPoolSpend,PASSED,1589303400465,1589319291554,1590528891554,undefined,undefined,CommunityPoolSpend,Development Fund,True
kava_3,kava,3,Nominate Kava Oracle Providers,/cosmos.gov.v1beta1.TextProposal,PASSED,1589327283536,1589351033099,1590560633099,undefined,undefined,TextProposal,Governance Process,True
kava_4,kava,4,BNB Collateral and USDX Minting Rewards,/cosmos.gov.v1beta1.TextProposal,PASSED,1589327742006,1589595161979,1590804761979,undefined,undefined,TextProposal,Governance Process,True
kava_5,kava,5,Nominate Kava Stability Committee,/cosmos.gov.v1beta1.TextProposal,PASSED,1589328228610,1589595196534,1590804796534,undefined,undefined,TextProposal,Governance Process,True
kava_6,kava,6,Nominate Kava Safety Committee,/cosmos.gov.v1beta1.TextProposal,PASSED,1589328625092,1589595258636,1590804858636,undefined,undefined,TextProposal,Governance Process,True
kava_7,kava,7,Kava 3 Upgrade Proposal,/cosmos.gov.v1beta1.TextProposal,REJECTED,1589744965511,1589745048493,1590954648493,undefined,undefined,TextProposal,Governance Process,False
cosmos_26,cosmos,26,Takeoff Proposal from Cyber to Cosmos,CommunityPoolSpend,REJECTED,1590084011292,1590084011292,1591293611292,undefined,undefined,CommunityPoolSpend,Community Support,False
kava_8,kava,8,Kava 3 Upgrade Proposal B,/cosmos.gov.v1beta1.TextProposal,PASSED,1590551869001,1590552007724,1591761607724,undefined,undefined,TextProposal,Governance Process,True
secret_11,secret,11,The Romulus Upgrade Signal,Text,PASSED,1590688983455,1590689338434,1591294138434,undefined,undefined,TextProposal,Governance Process,True
secret_12,secret,12,The Secret Accords,ParameterChange,REJECTED,1591468245524,1591469091383,1592073891383,undefined,undefined,ParameterChange,Protocol Configuration,False
secret_13,secret,13,The Romulus Upgrade Proposal,Text,PASSED,1591646838887,1591672569001,1592277369001,undefined,undefined,TextProposal,Governance Process,True
